Name,Collection,Date,Year,Last Worked On,Description,Time Worked,Tempo,FL Version,Plugins,Plugin Count,Versions,Samples,Size MB
Master File,,2023-03-11,2023,2023-05-21,,16h 09m,128.0,21.0.0.3329,"FabFilter Pro-L 2, FabFilter Saturn, kHs Gain, OTT, SAUSAGE FATTENER, SPAN, The Glue, Youlean Loudness Meter 2",8,1,141,695.4
MHA 40k Drop Contest Attempt Another,,2023-03-23,2023,2023-03-31,,3h 59m,170.0,21.0.0.3329,"CamelCrusher, dblue.TapeStop, DecentSampler, Little AlterBoy, OTT, Serum, TAL-Filter-2, The Glue, Vital",9,1,4,11.7
jpop,,2023-03-30,2023,2023-09-17,,2h 47m,170.0,21.0.0.3329,"Serum, TAL-Filter-2, TruePianos",3,1,98,137.8
guitar,jpop,2023-04-05,2023,2024-02-08,,7h 53m,100.0,21.2.1.3859,"Ample Guitar M II Lite, CamelCrusher, FreeAMP, OTT, PanCake2, Serum",6,1,80,114.0
WUBWUBWUB,,2023-04-08,2023,2023-06-12,,3h 03m,150.0,21.0.0.3329,"CamelCrusher, OTT, Ozone Imager 2, Serum",4,2,25,11.7
sounds,WUBWUBWUB,2023-04-13,2023,2023-04-14,,0h 57m,186.0,21.0.0.3329,"kHs Formant Filter, kHs Pitch Shifter, OTT, Ozone 8 Imager, Serum, TAL-Filter-2",6,1,7,2.5
星は降り注ぐかの如し,,2023-04-15,2023,2025-05-08,,8h 01m,182.0,24.2.2.4597,"CamelCrusher, Keyzone Classic, kHs Bitcrush, kHs Gain, OTT, Serum",6,1,29,28.0
Sample Only,!Producer Club,2023-04-16,2023,2023-04-19,,3h 22m,150.0,21.0.0.3329,"Auburn Sounds Couture, CamelCrusher, Crystallizer, FabFilter Pro-L 2, Guitar Rig 6, OTT, The Glue",7,1,21,3.3
huming,jpop,2023-04-19,2023,2023-05-11,,1h 19m,140.0,21.0.0.3329,"Sylenth1, TAL-Filter-2, The Glue, TruePianos",4,1,18,23.6
Rhythm 230,,2023-04-27,2023,2023-07-17,,5h 13m,230.0,21.0.0.3329,"FabFilter Pro-Q 3, kHs Frequency Shifter, kHs Trance Gate, OTT, Serum, TAL-Filter-2",6,2,36,58.8
hJLL,,2023-04-28,2023,2023-04-28,,1h 36m,117.0,21.0.0.3329,,0,1,1,4.4
